Data,ID,TemperaturaBMP(ºC),Pressão(hPa),Altitude(m),Umidade(g/m3),TemperaturaAHT(ºC),HIF(ºC),latitude,longitude,elevation,status
2024-12-02T14:29:22-03:00,1,31.70,947.59,561.59,62.36,31.51,36.63,,,,
2024-12-02T14:29:43-03:00,2,31.80,947.53,562.12,61.81,31.58,36.62,,,,
2024-12-02T14:30:03-03:00,3,31.90,947.54,562.03,61.25,31.71,36.76,,,,
2024-12-02T14:30:24-03:00,4,32.00,947.59,561.59,61.01,31.79,36.88,,,,
2024-12-02T14:30:44-03:00,5,32.00,947.51,562.30,61.01,31.79,36.89,,,,
2024-12-02T14:31:05-03:00,6,32.00,947.49,562.47,60.71,31.81,36.86,,,,
2024-12-02T14:31:25-03:00,7,32.00,947.47,562.65,60.80,31.82,36.90,,,,
2024-12-02T14:32:24-03:00,8,32.10,947.39,563.35,61.19,31.95,37.32,,,,
2024-12-02T14:32:44-03:00,9,32.20,947.38,563.44,60.21,32.02,37.20,,,,
2024-12-02T14:33:04-03:00,10,32.30,947.32,563.97,59.89,32.11,37.31,,,,
2024-12-02T14:33:25-03:00,11,32.40,947.37,563.53,60.65,32.20,37.75,,,,
2024-12-02T14:33:46-03:00,12,32.50,947.34,563.79,60.22,32.25,37.74,,,,
2024-12-02T14:34:06-03:00,13,32.50,947.36,563.62,60.00,32.31,37.80,,,,
2024-12-02T14:34:27-03:00,14,32.60,947.33,563.88,59.59,32.37,37.82,,,,
2024-12-02T14:34:47-03:00,15,32.70,947.34,563.79,59.76,32.42,38.00,,,,
2024-12-02T14:35:08-03:00,16,32.70,947.25,564.58,60.14,32.45,38.18,,,,
2024-12-02T14:35:28-03:00,17,32.80,947.37,563.53,59.72,32.49,38.15,,,,
2024-12-02T14:35:49-03:00,18,32.80,947.30,564.14,59.01,32.51,37.96,,,,
2024-12-02T14:36:09-03:00,19,32.80,947.26,564.49,59.32,32.56,38.18,,,,
2024-12-02T14:36:30-03:00,20,32.90,947.21,564.93,58.79,32.61,38.14,,,,
2024-12-02T14:36:50-03:00,21,32.90,947.17,565.29,58.60,32.65,38.18,,,,
2024-12-02T14:37:11-03:00,22,32.90,947.21,564.93,58.68,32.66,38.23,,,,
2024-12-02T14:37:31-03:00,23,32.90,947.22,564.85,59.69,32.69,38.62,,,,
2024-12-02T14:37:52-03:00,24,33.00,947.15,565.46,58.96,32.69,38.39,,,,
2024-12-02T14:38:12-03:00,25,33.00,947.22,564.85,59.48,32.72,38.64,,,,
2024-12-02T14:38:33-03:00,26,33.00,947.25,564.58,59.16,32.73,38.55,,,,
2024-12-02T14:38:53-03:00,27,33.00,947.22,564.85,59.52,32.74,38.70,,,,
2024-12-02T14:39:14-03:00,28,33.00,947.26,564.49,59.14,32.74,38.56,,,,
2024-12-02T14:39:35-03:00,29,33.00,947.27,564.41,59.52,32.77,38.76,,,,
2024-12-02T14:39:55-03:00,30,33.00,947.15,565.46,60.13,32.79,39.04,,,,
2024-12-02T14:40:15-03:00,31,33.00,947.17,565.29,58.79,32.77,38.51,,,,
2024-12-02T14:40:36-03:00,32,33.00,947.23,564.76,58.71,32.77,38.49,,,,
2024-12-02T14:40:57-03:00,33,33.00,947.22,564.85,58.55,32.80,38.51,,,,
2024-12-02T14:41:17-03:00,34,33.00,947.18,565.20,58.39,32.80,38.47,,,,
2024-12-02T14:41:33-03:00,35,33.00,947.23,564.76,58.62,32.81,38.56,,,,
2024-12-02T14:41:53-03:00,36,33.00,947.21,564.93,58.60,32.83,38.61,,,,
2024-12-02T14:42:14-03:00,37,33.00,947.19,565.11,58.17,32.85,38.51,,,,
2024-12-02T14:42:34-03:00,38,33.10,947.26,564.49,58.81,32.88,38.79,,,,
2024-12-02T14:42:55-03:00,39,33.10,947.25,564.58,57.92,32.92,38.59,,,,
2024-12-02T14:43:16-03:00,40,33.10,947.24,564.67,57.80,32.92,38.55,,,,
2024-12-02T14:43:36-03:00,41,33.10,947.23,564.76,57.81,32.96,38.65,,,,
2024-12-02T14:43:57-03:00,42,33.10,947.23,564.76,57.73,32.98,38.67,,,,
2024-12-02T14:44:17-03:00,43,33.10,947.27,564.41,57.71,32.95,38.60,,,,
2024-12-02T14:44:38-03:00,44,33.20,947.22,564.85,57.78,32.98,38.68,,,,
2024-12-02T14:44:58-03:00,45,33.10,947.26,564.49,56.98,32.93,38.31,,,,
2024-12-02T14:45:19-03:00,46,33.10,947.25,564.58,56.31,32.95,38.12,,,,
2024-12-02T14:45:39-03:00,47,33.10,947.23,564.76,55.95,32.98,38.06,,,,
2024-12-02T14:46:00-03:00,48,33.10,947.25,564.58,56.28,32.97,38.17,,,,
2024-12-02T14:46:21-03:00,49,33.10,947.21,564.93,57.91,32.96,38.70,,,,
2024-12-02T14:46:41-03:00,50,33.10,947.22,564.85,56.43,32.94,38.13,,,,
2024-12-02T14:47:02-03:00,51,33.10,947.20,565.02,57.70,32.95,38.60,,,,
